2025-09-09 19:53:40 - spektroskopi - INFO - Spektroskopi uygulaması başlatılıyor...
2025-09-09 19:53:40 - spektroskopi - INFO - 1 formül içe aktarıldı
2025-09-09 19:53:40 - spektroskopi - INFO - Uygulama başlangıcında formüller yüklendi: 1
2025-09-09 19:53:40 - spektroskopi - INFO - 1 formül içe aktarıldı
2025-09-09 19:53:40 - spektroskopi - INFO - Uygulama başlangıcında formüller yüklendi: 1
2025-09-09 19:53:40 - spektroskopi - INFO - Uygulama ayarları yüklendi
2025-09-09 19:53:40 - spektroskopi - INFO - Sensör bilgileri güncellendi
2025-09-09 19:53:40 - spektroskopi - INFO - Otomatik bağlantı başlatılıyor...
2025-09-09 19:53:40 - spektroskopi - INFO - Ana GUI başlatıldı
2025-09-09 19:53:41 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:53:41 - spektroskopi - INFO - BLE tarama başlatılıyor (timeout: 10.0s)
2025-09-09 19:53:42 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:53:42 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:53:43 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:53:43 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:53:44 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:28 - spektroskopi - INFO - Spektroskopi uygulaması başlatılıyor...
2025-09-09 19:55:28 - spektroskopi - INFO - 1 formül içe aktarıldı
2025-09-09 19:55:28 - spektroskopi - INFO - Uygulama başlangıcında formüller yüklendi: 1
2025-09-09 19:55:28 - spektroskopi - INFO - 1 formül içe aktarıldı
2025-09-09 19:55:28 - spektroskopi - INFO - Uygulama başlangıcında formüller yüklendi: 1
2025-09-09 19:55:28 - spektroskopi - INFO - Uygulama ayarları yüklendi
2025-09-09 19:55:28 - spektroskopi - INFO - Sensör bilgileri güncellendi
2025-09-09 19:55:28 - spektroskopi - INFO - Otomatik bağlantı başlatılıyor...
2025-09-09 19:55:28 - spektroskopi - INFO - Ana GUI başlatıldı
2025-09-09 19:55:29 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:29 - spektroskopi - INFO - BLE tarama başlatılıyor (timeout: 10.0s)
2025-09-09 19:55:29 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:30 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:30 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:31 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:31 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:32 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:32 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:33 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:33 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:34 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:34 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:35 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:35 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:36 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:36 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:37 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:37 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:38 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:38 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:39 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:39 - spektroskopi - INFO - Tarama tamamlandı: 0 cihaz bulundu
2025-09-09 19:55:41 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:41 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:42 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:42 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:43 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:43 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:44 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:45 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:45 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:46 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:46 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:47 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:47 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:48 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:48 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:49 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:49 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:50 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:50 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:51 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:51 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:52 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:52 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:53 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:53 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:54 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:54 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:55 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:55 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:56 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:56 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:57 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:57 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:58 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:58 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:59 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:55:59 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:00 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:00 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:01 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:01 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:02 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:02 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:03 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:03 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:04 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:04 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:05 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:05 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:06 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:06 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:07 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:07 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:08 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:08 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:09 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:09 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:10 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:10 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:11 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:11 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:12 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:12 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:13 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:13 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:14 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:14 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:15 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:15 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:16 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:17 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:17 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:18 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:18 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
